               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,            0.041951,           0.0091184,           0.0058485,              0.8136,             0.97619,              0.9363,             0.60954,             0.01958,           0.0047562,           0.0037607,           0.0077428,           0.0077428,           0.0077428
                 116,             0.04564,           0.0097431,           0.0097476,              0.8136,             0.97619,              0.9363,             0.60954,             0.01958,           0.0047562,           0.0037607,            0.007723,            0.007723,            0.007723
                 117,            0.038795,           0.0085232,           0.0054718,             0.98466,             0.97619,             0.97534,             0.75763,             0.01707,           0.0046577,           0.0037635,           0.0077032,           0.0077032,           0.0077032
                 118,            0.041763,           0.0084126,           0.0070434,             0.98351,             0.97617,             0.97536,             0.58722,            0.019773,           0.0047097,           0.0035584,           0.0076834,           0.0076834,           0.0076834
                 119,            0.042595,           0.0076994,           0.0070902,             0.90364,             0.91034,             0.95459,             0.51124,            0.028424,            0.005117,            0.003462,           0.0076636,           0.0076636,           0.0076636
                 120,            0.056127,           0.0085071,           0.0056988,             0.90364,             0.91034,             0.95459,             0.51124,            0.028424,            0.005117,            0.003462,           0.0076438,           0.0076438,           0.0076438
                 121,            0.055121,           0.0098286,           0.0050366,              0.9516,             0.94281,             0.96779,             0.56771,            0.025297,           0.0049407,           0.0034034,            0.007624,            0.007624,            0.007624
                 122,            0.050574,           0.0080115,           0.0056727,             0.89859,             0.90118,             0.96209,             0.57883,            0.019537,           0.0045791,           0.0033594,           0.0076042,           0.0076042,           0.0076042
                 123,            0.043752,           0.0083164,           0.0045188,             0.75123,             0.87314,             0.93971,             0.51237,            0.027269,           0.0046654,            0.003377,           0.0075844,           0.0075844,           0.0075844
                 124,            0.053219,           0.0087885,           0.0062863,             0.75123,             0.87314,             0.93971,             0.51237,            0.027269,           0.0046654,            0.003377,           0.0075646,           0.0075646,           0.0075646
                 125,            0.045925,           0.0074133,           0.0044729,             0.84598,             0.96759,             0.96062,             0.52884,            0.024199,            0.004568,           0.0033591,           0.0075448,           0.0075448,           0.0075448
                 126,            0.044058,           0.0085786,           0.0054947,             0.99852,             0.97619,             0.98146,             0.64955,              0.0175,           0.0043852,           0.0033195,            0.007525,            0.007525,            0.007525
                 127,            0.047829,           0.0085968,           0.0066567,              0.8083,             0.99749,             0.95456,              0.5189,             0.02181,           0.0045925,           0.0032808,           0.0075052,           0.0075052,           0.0075052
                 128,            0.046638,           0.0083547,           0.0049882,              0.8083,             0.99749,             0.95456,              0.5189,             0.02181,           0.0045925,           0.0032808,           0.0074854,           0.0074854,           0.0074854
                 129,             0.04169,           0.0087729,           0.0059311,             0.99802,             0.97619,             0.97562,             0.58255,            0.019498,           0.0045492,           0.0032935,           0.0074656,           0.0074656,           0.0074656
                 130,            0.040696,            0.008498,           0.0054359,             0.99837,             0.97619,             0.98224,             0.70553,             0.01323,           0.0044285,           0.0033389,           0.0074458,           0.0074458,           0.0074458
                 131,            0.040286,            0.010181,            0.005078,             0.99759,              0.9755,             0.97555,             0.64488,            0.023519,           0.0046507,           0.0031799,            0.007426,            0.007426,            0.007426
                 132,            0.047249,           0.0093263,           0.0041583,             0.99759,              0.9755,             0.97555,             0.64488,            0.023519,           0.0046507,           0.0031799,           0.0074062,           0.0074062,           0.0074062
                 133,            0.042808,           0.0081095,           0.0047049,             0.99705,             0.97619,             0.97552,             0.76508,            0.019253,           0.0044422,           0.0031189,           0.0073864,           0.0073864,           0.0073864
                 134,            0.041804,           0.0084706,           0.0047621,             0.94829,             0.95133,             0.99115,             0.68852,            0.017928,            0.004383,           0.0029489,           0.0073666,           0.0073666,           0.0073666
